barrio_id,safety_score,real_crime_proxy,safety_score_scaled
Iturrama,0.23671497584541065,1.6444579673676591,0.8942731277533041
San Juan/Donibane,0.07125603864734299,1.0895546631081288,0.5925110132158591
Casco Viejo/Alde Zaharra,-0.10265700483091789,0.506298635273294,0.27533039647577096
Ensanche/Zabalgunea,0.2946859903381642,1.8388766433126036,1
Milagrosa-Arrosadia,-0.2536231884057971,0,0
Rochapea/Arrotxapea,-0.1292270531400966,0.41719007546519427,0.22687224669603528
Mendillorri,0.024154589371980676,0.931589488902861,0.5066079295154186
Ermitaga�a-Mendebaldea,0.0857487922705314,1.1381593320943648,0.6189427312775331
San Jorge-Sanduzelai,-0.23067632850241546,0.07695739256154074,0.041850220264317214
Txantrea,0.025362318840579712,0.9356398779850473,0.5088105726872247
Etxabakoitz,-0.07971014492753623,0.5832560278348347,0.31718061674008813
Lezkairu,0.0640096618357488,1.0652523286150106,0.5792951541850221
Buztintxuri-Euntzetxiki,-0.006038647342995168,0.8303297618482021,0.45154185022026433
