barrio_id,safety_score,real_crime_proxy
Iturrama,0.23671497584541065,0.4352896402044328
San Juan/Donibane,0.07125603864734299,0.13103106516357924
Casco Viejo/Alde Zaharra,-0.10265700483091789,-0.18877356845600402
Ensanche/Zabalgunea,0.2946859903381642,0.5418911847442938
Milagrosa-Arrosadia,-0.2536231884057971,-0.46638175736189225
Rochapea/Arrotxapea,-0.1292270531400966,-0.2376326097034403
Mendillorri,0.024154589371980676,0.044417310224942115
Ermitaga�a-Mendebaldea,0.0857487922705314,0.1576814512985445
San Jorge-Sanduzelai,-0.23067632850241546,-0.4241853126481972
Txantrea,0.025362318840579712,0.046638175736189225
Etxabakoitz,-0.07971014492753623,-0.14657712374230897
Lezkairu,0.0640096618357488,0.11770587209609662
Buztintxuri-Euntzetxiki,-0.006038647342995168,-0.011104327556235527
